country,weight,imp_family,imp_friends,imp_leisure,imp_politics,imp_work,imp_religion
Albania,0.696864111,2,1,2,3,2,2
Albania,0.696864111,1,1,4,4,1,1
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,3,3,4,1,2
Albania,0.696864111,1,2,2,1,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,3,2,3,1,2
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,1,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,1,4,1,1
Albania,0.696864111,1,1,3,3,2,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,3,2,4,2,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,3,4,4,4,4,2
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,2,3,2,1,3
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,1,2,1,1
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,3,4,1,4
Albania,0.696864111,1,1,3,4,1,3
Albania,0.696864111,1,2,1,4,2,1
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,1,3,4,1,2
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,2,1,1,1
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,3,3,4,2,4
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,2,2,2,4,2,2
Albania,0.696864111,1,2,2,3,2,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,4,1,4
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,2,3,4,1,1
Albania,0.696864111,1,2,3,4,1,4
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,3,3,3,1,2
Albania,0.696864111,1,1,1,3,1,2
Albania,0.696864111,1,2,1,4,1,1
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,1,1,3,1,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,1,3,1
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,4,2,4,1,4
Albania,0.696864111,1,2,3,3,1,2
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,3,4,4,1,4
Albania,0.696864111,1,2,3,4,2,1
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,3,2
Albania,0.696864111,1,1,1,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,2,2,4,3,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,1,4,2,1
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,3,2,1,1
Albania,0.696864111,1,2,2,2,2,1
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,1,4,1,4
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,3,2,1,1
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,1,3,1,1
Albania,0.696864111,1,2,2,1,1,1
Albania,0.696864111,1,3,2,2,2,2
Albania,0.696864111,1,1,1,2,3,2
Albania,0.696864111,0,2,1,4,1,2
Albania,0.696864111,1,1,2,3,1,1
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,1,3,1,3
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,2,1,1,1
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,1,1,4,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,2,3
Albania,0.696864111,1,1,3,1,1,1
Albania,0.696864111,1,2,2,3,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,1,3,1,1
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,1,4,2,1
Albania,0.696864111,1,2,2,4,2,1
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,2,1,3,3,3,1
Albania,0.696864111,1,3,3,4,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,2,2,2,1,3
Albania,0.696864111,1,2,2,3,2,3
Albania,0.696864111,1,1,1,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,4,2,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,3,3,2,2
Albania,0.696864111,1,1,4,4,1,4
Albania,0.696864111,1,2,1,4,1,3
Albania,0.696864111,1,2,1,4,1,1
Albania,0.696864111,1,2,3,4,2,2
Albania,0.696864111,2,2,2,3,2,3
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,1,1,2,1,1
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,2,1,1
Albania,0.696864111,1,2,3,4,1,4
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,3,2,1,2
Albania,0.696864111,1,1,1,3,1,2
Albania,0.696864111,1,1,1,3,1,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,3,2,2,1,1
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,3,3,4,1,4
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,3,2,4,2,3
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,2,2,1,4
Albania,0.696864111,1,2,4,4,1,2
Albania,0.696864111,1,3,1,3,2,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,3,2,4,2,4
Albania,0.696864111,1,2,1,3,1,2
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,1,1,3,1,1
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,1,1,2,1,1
Albania,0.696864111,1,2,1,4,1,1
Albania,0.696864111,1,2,3,3,1,3
Albania,0.696864111,1,1,1,2,1,1
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,1,1,3,1,2
Albania,0.696864111,1,1,1,1,1,3
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,1,3,3,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,1,2,1,1,1
Albania,0.696864111,1,2,2,3,2,3
Albania,0.696864111,1,2,2,3,1,1
Albania,0.696864111,1,2,2,2,2,4
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,3,2,4,2,4
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,2,2,2,3,2,1
Albania,0.696864111,1,1,2,2,3,1
Albania,0.696864111,1,2,3,4,2,2
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,3,3,4,2,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,1,2,1,4
Albania,0.696864111,1,1,2,1,1,1
Albania,0.696864111,1,1,3,2,3,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,3,2,1,1
Albania,0.696864111,1,1,2,3,1,3
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,1,3,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,2,3
Albania,0.696864111,1,3,3,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,1,1,4,2,4
Albania,0.696864111,1,2,2,2,2,4
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,1,2,3,1,0
Albania,0.696864111,1,2,1,2,1,2
Albania,0.696864111,1,2,2,4,2,3
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,1,3,4,1,1
Albania,0.696864111,1,2,2,4,2,4
Albania,0.696864111,1,3,1,4,1,4
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,3,2,2,1,2,2
Albania,0.696864111,1,2,3,3,1,2
Albania,0.696864111,1,2,2,3,1,1
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,1,3,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,3,1,3
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,3,2,3
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,1,2,3,1,4
Albania,0.696864111,1,2,4,3,1,2
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,2,1,4
Albania,0.696864111,2,2,1,4,2,1
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,3,2,4,2,2
Albania,0.696864111,1,2,2,4,2,3
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,1,1,4,1,3
Albania,0.696864111,1,2,2,2,2,4
Albania,0.696864111,1,2,2,3,2,1
Albania,0.696864111,1,2,1,4,1,4
Albania,0.696864111,1,2,1,4,1,4
Albania,0.696864111,1,3,1,4,1,4
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,3,1,4
Albania,0.696864111,1,2,2,3,1,4
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,3,3,4,1,2
Albania,0.696864111,1,2,1,4,1,4
Albania,0.696864111,1,1,1,2,1,4
Albania,0.696864111,1,1,2,3,1,3
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,3,2,4,1,3
Albania,0.696864111,0,0,0,0,0,0
Albania,0.696864111,1,3,3,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,1,1,1,1,2
Albania,0.696864111,1,2,2,3,2,1
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,2,4,2,4,1,2
Albania,0.696864111,1,1,1,3,1,1
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,3,1,3,1,4
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,2,1,3
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,2,3,2,2,2,2
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,1,1,4,1,3
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,4,2,4,1,4
Albania,0.696864111,1,2,2,2,2,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,3,4,2,2
Albania,0.696864111,1,0,2,4,2,2
Albania,0.696864111,1,1,3,2,4,1
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,3,1,2,1,3
Albania,0.696864111,1,1,2,1,1,2
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,1,1,2,1,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,1,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,2,1,1,1
Albania,0.696864111,1,2,1,4,2,1
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,3,4,1,2
Albania,0.696864111,1,2,2,2,1,4
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,0,0,0,0,0,0
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,1,4,1,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,2,1,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,2,3
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,3,3,4,1,4
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,3,4,1,1
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,1,2,2,2,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,3,2,1,3
Albania,0.696864111,1,1,1,3,1,2
Albania,0.696864111,1,1,3,4,1,1
Albania,0.696864111,1,2,3,4,0,2
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,4,1,4
Albania,0.696864111,1,2,3,2,2,1
Albania,0.696864111,1,3,2,4,1,1
Albania,0.696864111,1,2,4,3,1,2
Albania,0.696864111,1,2,2,1,1,3
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,2,1,1
Albania,0.696864111,2,3,2,2,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,3,2,4,1,2
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,3,4,1,1
Albania,0.696864111,1,1,1,4,1,2
Albania,0.696864111,1,2,3,3,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,2,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,1,4,1,1
Albania,0.696864111,1,2,3,4,1,4
Albania,0.696864111,1,2,1,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,1,2,1,1
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,1,4,1,4
Albania,0.696864111,1,2,2,3,2,3
Albania,0.696864111,1,2,1,4,1,2
Albania,0.696864111,1,3,2,4,2,4
Albania,0.696864111,1,2,3,4,2,2
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,1,2,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,3,3,1,3
Albania,0.696864111,1,1,2,4,2,3
Albania,0.696864111,1,3,2,4,1,1
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,4,4,2,4
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,1,2,4,3,1
Albania,0.696864111,1,3,3,4,1,3
Albania,0.696864111,1,2,2,2,1,4
Albania,0.696864111,1,1,2,4,1,4
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,1,3,2,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,3,1,4
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,2,4
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,2,2,2,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,2,1,4,1,3
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,1,4,0,4
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,2,4,1,4
Albania,0.696864111,1,2,2,2,1,3
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,1,2,4,2,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,1,4,1,1
Albania,0.696864111,1,1,2,4,1,4
Albania,0.696864111,1,2,1,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,1,1,4,1,2
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,1,1,4,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,4
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,3,4,1,4
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,1,3,4,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,2,2,3,3,2,2
Albania,0.696864111,1,1,3,2,1,2
Albania,0.696864111,1,2,2,3,1,4
Albania,0.696864111,1,2,3,2,1,2
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,2,2,3,2,4
Albania,0.696864111,2,3,3,3,2,3
Albania,0.696864111,2,2,2,3,1,3
Albania,0.696864111,2,2,4,4,2,2
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,4,4,1,2
Albania,0.696864111,1,2,3,4,1,3
Albania,0.696864111,1,2,3,4,1,4
Albania,0.696864111,1,2,1,4,1,3
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,3,1,4
Albania,0.696864111,1,2,1,4,1,2
Albania,0.696864111,1,1,1,4,1,2
Albania,0.696864111,1,2,1,3,1,1
Albania,0.696864111,1,2,2,3,2,1
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,2,1,3
Albania,0.696864111,1,2,1,4,1,4
Albania,0.696864111,1,3,2,4,1,3
Albania,0.696864111,1,1,2,2,1,2
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,3,2,4,1,2
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,1,2,2,1,3
Albania,0.696864111,1,1,3,4,1,4
Albania,0.696864111,1,2,2,4,2,4
Albania,0.696864111,1,1,3,3,1,3
Albania,0.696864111,1,1,2,2,2,2
Albania,0.696864111,1,2,2,0,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,2,1,1,2
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,1,2,1,1,3
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,1,2,1,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,4,2,1,1,3
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,1,1,4,1,2
Albania,0.696864111,1,2,2,4,2,3
Albania,0.696864111,1,1,3,4,1,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,3,2,2,2
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,3,4,1,4
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,2,4,2,4,2,2
Albania,0.696864111,1,2,2,3,2,4
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,1,2,4,1,4
Albania,0.696864111,1,2,1,3,1,3
Albania,0.696864111,1,1,1,4,1,4
Albania,0.696864111,1,1,3,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,3,1,4
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,3,4,2,2
Albania,0.696864111,1,1,2,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,3,3,1,2
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,1,2,1,2
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,3,3,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,1,2,3,3,3
Albania,0.696864111,1,1,1,2,3,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,1,3,2,2
Albania,0.696864111,1,3,4,4,1,1
Albania,0.696864111,1,2,2,3,1,3
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,2,3,3,2,2
Albania,0.696864111,1,2,2,4,1,3
Albania,0.696864111,1,1,2,3,2,2
Albania,0.696864111,1,1,2,3,1,3
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,4,2,1
Albania,0.696864111,1,1,2,4,1,3
Albania,0.696864111,1,2,1,4,1,4
Albania,0.696864111,1,2,3,4,3,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,1,4,1,1
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,1,1,2,1,3
Albania,0.696864111,1,2,2,3,2,2
Albania,0.696864111,1,2,2,4,1,4
Albania,0.696864111,1,2,3,3,1,3
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,1,2,3,1,3
Albania,0.696864111,1,2,2,4,2,2
Albania,0.696864111,1,2,2,2,1,3
Albania,0.696864111,1,1,1,3,1,3
Albania,0.696864111,1,2,2,1,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,3,4,1,2
Albania,0.696864111,1,2,1,3,1,3
Albania,0.696864111,1,1,3,4,1,1
Albania,0.696864111,1,1,2,1,1,3
Albania,0.696864111,1,1,1,2,1,1
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,3,2,2,1,4
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,1,1,1
Albania,0.696864111,1,1,2,4,1,2
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,3,2,1
Albania,0.696864111,1,1,1,1,1,2
Albania,0.696864111,1,3,1,4,1,4
Albania,0.696864111,1,3,2,4,1,2
Albania,0.696864111,1,2,2,3,1,1
Albania,0.696864111,1,1,3,4,1,2
Albania,0.696864111,1,1,1,1,1,1
Albania,0.696864111,1,2,3,3,1,2
Albania,0.696864111,1,2,2,4,1,1
Albania,0.696864111,1,3,2,4,1,3
Albania,0.696864111,1,2,2,3,1,2
Albania,0.696864111,1,2,2,4,1,2
Albania,0.696864111,1,1,2,4,1,1
Albania,0.696864111,1,2,2,3,1,2
